pos,token_id,token,prob,perplexity,surprisal_bits
0,32013,<｜begin▁of▁sentence｜>,0.9280633926391602,1.0775126008970914,0.10770474091107514
1,2962,Sh,2.4302577003254555e-05,41147.8996596156,15.328531171606059
2,435,all,0.0021667664404958487,461.5172089203843,8.850240633444727
3,303, I,0.042810771614313126,23.358607245137,4.545882351107193
4,8891, compare,0.0033510581124573946,298.4132075425815,8.221167579370928
5,9401, thee,0.007297889795154333,137.02591133453151,7.098304919596747
6,276, to,0.6468437314033508,1.545968448717071,0.6285108759613994
7,245, a,0.9898961782455444,1.0102069509676896,0.014650873720116482
8,6237, summer,0.5590714812278748,1.788680041063309,0.8388953413000731
9,486,’,0.6261636018753052,1.597026714751684,0.6753884460725119
10,82,s,0.9983105659484863,1.0016922930690497,0.0024393993108574293
11,1486, day,0.9827153086662292,1.017588706700041,0.02515456465171513
12,30,?,0.920281708240509,1.0866237925253397,0.11985254146710192
13,185,"
",0.4112127125263214,2.43183143307125,1.2820432291513264
14,1080,Th,0.003993697930127382,250.3945009101137,7.9680590683518675
15,264,ou,0.9926198124885559,1.0074350596457888,0.010686844066830296
16,2449, art,0.963707447052002,1.0376593052788143,0.05333284132003222
17,686, more,0.9874875545501709,1.012670990527601,0.018165529091924513
18,10372, lovely,0.8961144685745239,1.1159288629618154,0.15824506271971137
19,285, and,0.953398585319519,1.0488792572152423,0.06884861019094313
20,686, more,0.9885419607162476,1.0115908476717068,0.016625889446358906
21,4201, temper,0.9981132745742798,1.0018902918874864,0.0027245404540627463
22,387,ate,0.9949591159820557,1.0050664232700344,0.0072908500167708935
23,25,:,0.8892809152603149,1.124504060347764,0.16928887039363788
24,185,"
",0.17563295364379883,5.693692323982092,2.5093645347629505
25,49,R,0.853542149066925,1.171588305385012,0.22846569764089927
26,1002,ough,0.9096064567565918,1.0993765408897018,0.1366855997846709
27,21759, winds,0.983717679977417,1.0165518220867564,0.023683763202204958
28,533, do,0.998891294002533,1.001109936590822,0.0016004120015721786
29,22772, shake,0.9524029493331909,1.0499757489202795,0.07035600663759896
30,254, the,0.9997522234916687,1.000247837916745,0.000357510232966241
31,9337, dar,0.8616338968276978,1.1605857240316666,0.21485308801442624
32,2229,ling,0.9635590314865112,1.0378191343993426,0.05355504038085938
33,6583, bud,0.969372034072876,1.0315956772534882,0.0448776328558738
34,82,s,0.9999549388885498,1.0000450631420454,6.501090676900002e-05
35,280, of,0.9997528195381165,1.0002472415751702,0.00035665010684921846
36,3626, May,0.9369050860404968,1.067343976353199,0.09402519303753508
37,11,",",0.998702883720398,1.0012988009754913,0.0018725579494589003
38,185,"
",0.9947044253349304,1.005323767071094,0.007660199836924013
39,2270,And,0.9978609681129456,1.0021436171524973,0.0030892759047565902
40,6237, summer,0.9807189702987671,1.0196600966078582,0.028088310370645637
41,486,’,0.9807021021842957,1.0196776348013556,0.028113124568309864
42,82,s,0.9999902248382568,1.0000097752572978,1.4102646298686894e-05
43,24986, lease,0.9509448409080505,1.0515857040089802,0.07256643419721767
44,15869, hath,0.9880300164222717,1.0121149999279095,0.01737322323353041
45,519, all,0.9719253778457642,1.0288855737221947,0.041082543550727275
46,1646, too,0.9876091480255127,1.0125463114626467,0.01798789494988689
47,2567, short,0.9965600371360779,1.0034518370552044,0.0049713729445596926
48,245, a,0.9763075113296509,1.0242674448320919,0.03459246431777534
49,4278, date,0.99468994140625,1.005338405841566,0.0076812071268103615
50,26,;,0.043542325496673584,22.966159675518366,4.52143772912674
51,185,"
",0.9979773163795471,1.002026783161556,0.002921070826482999
52,50,S,0.9848641753196716,1.0153684386737039,0.022003321693276404
53,3175,omet,0.5798271298408508,1.724651967000021,0.7863052568810016
54,590,ime,0.9959084987640381,1.0041083103930126,0.005914897215942533
55,1646, too,0.9987541437149048,1.0012474103791562,0.0017985112602220401
56,3536, hot,0.9655213952064514,1.0357098299061267,0.05061986635229432
57,254, the,0.998806357383728,1.001195069101681,0.0017230908651415047
58,6009, eye,0.998096764087677,1.0019068651265117,0.0027484052745813405
59,280, of,0.9999951124191284,1.0000048876047603,7.051305917303151e-06
60,11729, heaven,0.9935681223869324,1.0064735144658383,0.009309207975552005
61,467, sh,0.9822907447814941,1.0180285270044411,0.02577798890987917
62,1444,ines,0.9902324676513672,1.0098638780970286,0.01416084185905148
63,11,",",0.9982264637947083,1.0017766872244098,0.002560943523108864
64,185,"
",0.9999765157699585,1.0000234847815634,3.388098005589529e-05
65,2270,And,0.9990635514259338,1.0009373263319732,0.0013516426846067295
66,2741, often,0.9810649752616882,1.0193004798008012,0.027579406573736708
67,317, is,0.9364948868751526,1.0678114894324175,0.09465697730104758
68,583, his,0.9126293659210205,1.0957350676424986,0.1318990183698409
69,5290, gold,0.9566553831100464,1.0453084963041153,0.06392878001585314
70,4287, complex,0.9037456512451172,1.1065060159595461,0.14601129494498813
71,277,ion,0.9979259967803955,1.0020783136488034,0.002995261325315867
72,4158, dim,0.9843752980232239,1.0158727083137427,0.022719639718814123
73,76,m,0.28451550006866455,3.5147469988758484,1.8134208438913204
74,6,',0.8784010410308838,1.1384321662761336,0.18704833074324498
75,67,d,0.998817503452301,1.0011838965012245,0.001706991359953266
76,26,;,0.8311468958854675,1.203156752374854,0.2668246152002628
77,185,"
",0.9988873600959778,1.0011138792505245,0.0016060937396034033
78,2270,And,0.9955230951309204,1.004497037678961,0.0064733094846700055
79,1129, every,0.9421089887619019,1.0614483164141946,0.08603412586578879
80,4759, fair,0.9854757189750671,1.0147383448879275,0.021107769580860337
81,473, from,0.9992465972900391,1.00075397075357,0.001087340007359031
82,4759, fair,0.9940576553344727,1.005977867212871,0.008598564374564086
83,4756, somet,0.9727842807769775,1.0279771371318673,0.03980817842939127
84,590,ime,0.9995645880699158,1.000435601596216,0.0006283034276089499
85,4240, decl,0.9485929012298584,1.0541930038728857,0.07613902280009327
86,1444,ines,0.9959567189216614,1.004059695568615,0.005845046121932844
87,11,",",0.9926204681396484,1.0074343942092814,0.010685891129708299
88,185,"
",0.9995446801185608,1.0004555272920719,0.0006570373274032963
89,2704,By,0.9969810843467712,1.0030280571022134,0.0043619621575598806
90,5504, chance,0.8429546356201172,1.1863034589807466,0.2464731015929617
91,409, or,0.010288252495229244,97.19823657746629,6.602858234808725
92,4902, nature,0.9533712863922119,1.0489092909271922,0.06888991987139756
93,486,’,0.5528947114944458,1.8086626245656279,0.8549233226861425
94,82,s,0.9999768733978271,1.000023127137025,3.336502007864489e-05
95,7999, changing,0.8848251700401306,1.1301667649832403,0.1765356693332902
96,2617, course,0.9327731728553772,1.0720719989607228,0.10040179857136947
97,403, un,0.022543499246239662,44.35868580459192,5.471144718924329
98,648,tr,0.9406474232673645,1.063097580734844,0.08827402657837831
99,15679,imm,0.9666155576705933,1.0345374560387364,0.048985879768335364
100,6,',0.9909558892250061,1.0091266532378822,0.01310725524824451
101,67,d,0.9999880790710449,1.0000119210710654,1.7198367596743667e-05
102,26,;,0.9522042274475098,1.0501948754004298,0.0706570609269283
103,185,"
",0.9989827275276184,1.0010183083694542,0.0014683609394107722
104,2385,But,0.9849482178688049,1.0152818004623263,0.021880215788012414
105,8066, thy,0.9799985289573669,1.020409694965474,0.02914851123860268
106,23644, eternal,0.9926397800445557,1.007414794473695,0.010657823082240834
107,6237, summer,0.836564838886261,1.195364607161023,0.25745073260998075
108,2777, shall,0.9010036587715149,1.1098734064670315,0.15039513037928887
109,441, not,0.9266297817230225,1.0791796462019052,0.10993504379866538
110,28895, fade,0.9833881855010986,1.0168924283856802,0.02416707227038761
111,11,",",0.8249514698982239,1.212192518577332,0.27761884364589756
112,185,"
",0.9482053518295288,1.0546238724244017,0.07672855898807047
113,27449,Nor,0.9561266899108887,1.045886502857901,0.06472630220801348
114,8437, lose,0.9818882346153259,1.0184458523344764,0.026369278639438658
115,14848, possession,0.9675767421722412,1.0335097531953563,0.04755200349019168
116,280, of,0.9998551607131958,1.000144860268262,0.0002089740549902104
117,344, that,0.9903408885002136,1.0097533199042346,0.014002889394801528
118,4759, fair,0.9731239676475525,1.0276183027506949,0.03930449119849719
119,7865, thou,0.9528135657310486,1.0495232603376585,0.06973414109592936
120,24962, ow,0.9605615735054016,1.041057676657494,0.058049999014567664
121,486,’,0.486635684967041,2.054925339204683,1.039085977986826
122,292,st,0.999645471572876,1.0003546541621062,0.0005115670915633694
123,26,;,0.329127699136734,3.0383343687659554,1.6032806471987404
124,185,"
",0.9992788434028625,1.0007216770392953,0.0010407843757766803
125,27449,Nor,0.9833391904830933,1.016943095198638,0.024238952969647072
126,2777, shall,0.9795863032341003,1.0208390998307182,0.02975549288663998
127,4337, death,0.39339056611061096,2.542003001970379,1.3459657340900086
128,1571, br,0.9702554941177368,1.0306563642902224,0.04356339752443969
129,361,ag,0.9992448091506958,1.0007557615935438,0.0010899216944802554
130,7865, thou,0.9972163438796997,1.0027914264917384,0.004021566810290617
131,259, w,0.5822404026985168,1.7175036211250327,0.7803131407747408
132,8326,ander,0.9190186858177185,1.0881171573897068,0.12183389968154398
133,486,’,0.5451019406318665,1.8345192439433051,0.8754020384081818
134,292,st,0.9966087341308594,1.0034028056879294,0.004900877245545927
135,279, in,0.9998028874397278,1.0001971514212937,0.0002844013436610708
136,583, his,0.9438115954399109,1.0595334967609713,0.08342919870303495
137,17988, shade,0.9952889680862427,1.0047333307861492,0.006812642296734568
138,11,",",0.9881992340087891,1.011941687045576,0.017126157389885852
139,185,"
",0.9999277591705322,1.0000722460485822,0.00010422525112748716
140,3274,When,0.9555911421775818,1.0464726553672528,0.06553461404801832
141,279, in,0.999015212059021,1.0009857587042637,0.0014214487064843052
142,23644, eternal,0.9923720359802246,1.007686597105934,0.01104701274152857
143,4290, lines,0.9908899664878845,1.009193789240197,0.01320323284982039
144,276, to,0.9994966983795166,1.0005035550605614,0.0007262935396359642
145,761, time,0.9942052960395813,1.0058284782665128,0.00838430648343567
146,7865, thou,0.99666827917099,1.0033428582996353,0.004814682167231924
147,2544, grow,0.987999439239502,1.0121463234531138,0.01741787191001996
148,486,’,0.4940309524536133,2.0241646703176848,1.0173266612708876
149,292,st,0.9988366961479187,1.0011646587040381,0.0016792696383506928
150,25,:,0.11297376453876495,8.851612620706002,3.145940314851608
151,185,"
",0.9992067217826843,1.0007939080072443,0.00114491272739428
152,243,  ,4.925266694044694e-05,20303.46907324092,14.309438628495503
153,2074, So,0.06750654429197311,14.813378621114001,3.8888288215383535
154,1232, long,0.9818307757377625,1.0185054540061498,0.026453705828158113
155,372, as,0.9952166080474854,1.004806382765154,0.0069175337076116785
156,1736, men,0.9915015697479248,1.0085712726145615,0.012313038352801616
157,482, can,0.9808003902435303,1.019575450772101,0.027968541835121943
158,29772, breathe,0.9800212979316711,1.020385987641793,0.02911499251000042
159,409, or,0.0031451804097741842,317.94678514858145,8.31264151117546
160,3530, eyes,0.8771888613700867,1.140005355788597,0.1890406022422088
161,482, can,0.9984176158905029,1.0015848920174408,0.002284705825757687
162,1016, see,0.9891573190689087,1.0109615333396083,0.015728104346796383
163,11,",",0.9638558626174927,1.0374995253796067,0.05311067647629068
164,185,"
",0.9967126846313477,1.0032981574523336,0.004750405906326138
165,243,  ,0.0650271475315094,15.378192615867741,3.942814049594949
166,2074, So,0.9979277849197388,1.0020765180723252,0.0029926762263606265
167,1232, long,0.9981643557548523,1.0018390200316856,0.002650708473188776
168,6106, lives,0.9924170970916748,1.0076408426764787,0.010981505085370965
169,437, this,0.9984690546989441,1.0015332926882923,0.002210379610898623
170,11,",",0.9828351140022278,1.0174646649811632,0.024978692730712446
171,285, and,0.8657088279724121,1.155122793817539,0.20804622360256053
172,437, this,0.9935089945793152,1.0065334138453708,0.009395066137899892
173,4368, gives,0.9172852039337158,1.0901734768113203,0.1245577260311645
174,1720, life,0.987086296081543,1.0130826493790066,0.01875187698728184
175,276, to,0.6910920739173889,1.4469851959545654,0.533050161792106
176,9401, thee,0.9905979037284851,1.0094913347142433,0.013628526896782454
177,13,.,0.6768842935562134,1.477357370409944,0.5630188539663352
178,32022,<EOF>,7.725999527641303e-12,129433091009.42871,36.913415549283215
