position,token_id,token_text,probability
0,32013,<｜begin▁of▁sentence｜>,0.928063690662384
1,2962,Sh,2.430276435916312e-05
2,435,all,0.0021667652763426304
3,303, I,0.042811136692762375
4,8891, compare,0.003351125167682767
5,9401, thee,0.007298304699361324
6,276, to,0.6468615531921387
7,245, a,0.9899123311042786
8,6237, summer,0.5590890645980835
9,486,’,0.6261754035949707
10,82,s,0.9983150959014893
11,1486, day,0.9827338457107544
12,30,?,0.920303225517273
13,185,"
",0.41121894121170044
14,1080,Th,0.00399369141086936
15,264,ou,0.9926267266273499
16,2449, art,0.963720977306366
17,686, more,0.9875019788742065
18,10372, lovely,0.8961290121078491
19,285, and,0.9534029364585876
20,686, more,0.9885566234588623
21,4201, temper,0.9981197714805603
22,387,ate,0.9949652552604675
23,25,:,0.8892902135848999
24,185,"
",0.17564140260219574
25,49,R,0.853556752204895
26,1002,ough,0.9096162915229797
27,21759, winds,0.9837212562561035
28,533, do,0.998900294303894
29,22772, shake,0.9524111747741699
30,254, the,0.9997538924217224
31,9337, dar,0.8616493344306946
32,2229,ling,0.9635627865791321
33,6583, bud,0.9693828821182251
34,82,s,0.9999558925628662
35,280, of,0.9997535347938538
36,3626, May,0.9369153380393982
37,11,",",0.9987032413482666
38,185,"
",0.9947119951248169
39,2270,And,0.9978622794151306
40,6237, summer,0.9807285666465759
41,486,’,0.9807151556015015
42,82,s,0.9999903440475464
43,24986, lease,0.950949490070343
44,15869, hath,0.9880350232124329
45,519, all,0.9719352722167969
46,1646, too,0.9876249432563782
47,2567, short,0.9965643286705017
48,245, a,0.976319432258606
49,4278, date,0.9946969747543335
50,26,;,0.043543003499507904
51,185,"
",0.9973301887512207
52,50,S,0.9902172684669495
53,3175,omet,0.42232340574264526
54,590,ime,0.9971258044242859
55,1646, too,0.9988331198692322
56,3536, hot,0.9693716764450073
57,254, the,0.9987314343452454
58,6009, eye,0.9966591596603394
59,280, of,0.9999897480010986
60,11729, heaven,0.9783594012260437
61,467, sh,0.9530631303787231
62,1444,ines,0.9730790257453918
63,11,",",0.9995908141136169
64,185,"
",0.9999818801879883
65,2270,And,0.9975218176841736
66,2741, often,0.992915153503418
67,317, is,0.9707409143447876
68,583, his,0.8098907470703125
69,5290, gold,0.9526900053024292
70,4287, complex,0.8999378681182861
71,277,ion,0.9986334443092346
72,4158, dim,0.882679283618927
73,76,m,0.14161881804466248
74,6,',0.5314801931381226
75,67,d,0.9986502528190613
76,26,;,0.4954184889793396
77,185,"
",0.987354576587677
78,2270,And,0.8545877933502197
79,1129, every,0.3418787121772766
80,4759, fair,0.6525701880455017
81,473, from,0.9975258708000183
82,4759, fair,0.9916588664054871
83,4756, somet,0.7841737866401672
84,590,ime,0.9991570711135864
85,4240, decl,0.9012168049812317
86,1444,ines,0.9974215030670166
87,11,",",0.9844968318939209
88,185,"
",0.9990447163581848
89,2704,By,0.985708475112915
90,5504, chance,0.7372051477432251
91,409, or,0.060920435935258865
92,4902, nature,0.17352280020713806
93,486,’,0.00663424888625741
94,82,s,0.9916222095489502
95,7999, changing,0.7180857062339783
96,2617, course,0.8420806527137756
97,403, un,0.037469424307346344
98,648,tr,0.5378586053848267
99,15679,imm,0.846263587474823
100,6,',0.9654222726821899
101,67,d,0.9999271631240845
102,26,;,0.8516687750816345
103,185,"
",0.9940793514251709
104,2385,But,0.9576771259307861
105,8066, thy,0.47826269268989563
106,23644, eternal,0.7064316272735596
107,6237, summer,0.0820164829492569
108,2777, shall,0.8711369633674622
109,441, not,0.9760665893554688
110,28895, fade,0.9780287146568298
111,11,",",0.49634042382240295
112,185,"
",0.9751715660095215
113,27449,Nor,0.9783343076705933
114,8437, lose,0.980703592300415
115,14848, possession,0.974739134311676
116,280, of,0.9991600513458252
117,344, that,0.9901273250579834
118,4759, fair,0.9917586445808411
119,7865, thou,0.6407479643821716
120,24962, ow,0.9586463570594788
121,486,’,0.2821267247200012
122,292,st,0.9992836117744446
123,26,;,0.07396328449249268
124,185,"
",0.9939447045326233
125,27449,Nor,0.7410005331039429
126,2777, shall,0.9950093030929565
127,4337, death,0.3551671504974365
128,1571, br,0.965687096118927
129,361,ag,0.9990254640579224
130,7865, thou,0.9893690347671509
131,259, w,0.849108099937439
132,8326,ander,0.9376471042633057
133,486,’,0.8098382949829102
134,292,st,0.9990811347961426
135,279, in,0.9996545314788818
136,583, his,0.8290430903434753
137,17988, shade,0.9946509003639221
138,11,",",0.9769282937049866
139,185,"
",0.9995037317276001
140,3274,When,0.8828861117362976
141,279, in,0.9991124272346497
142,23644, eternal,0.9277904629707336
143,4290, lines,0.9855967164039612
144,276, to,0.9979228377342224
145,761, time,0.9938492178916931
146,7865, thou,0.9891557097434998
147,2544, grow,0.9967760443687439
148,486,’,0.6318227648735046
149,292,st,0.9973747730255127
150,25,:,0.3792850971221924
151,185,"
",0.9983773231506348
152,243,  ,0.0002931154449470341
153,2074, So,0.05699692294001579
154,1232, long,0.9937566518783569
155,372, as,0.9926314353942871
156,1736, men,0.9978645443916321
157,482, can,0.458374947309494
158,29772, breathe,0.30478936433792114
159,409, or,0.0013480531051754951
160,3530, eyes,0.013824168592691422
161,482, can,0.7218273282051086
162,1016, see,0.819506049156189
163,11,",",0.6328622102737427
164,185,"
",0.9621286392211914
165,243,  ,0.05662844702601433
166,2074, So,0.057731784880161285
167,1232, long,0.9377461075782776
168,6106, lives,0.9208635091781616
169,437, this,0.31850162148475647
170,11,",",0.9782021641731262
171,285, and,0.8337867856025696
172,437, this,0.046509139239788055
173,4368, gives,0.1730174720287323
174,1720, life,0.9901667833328247
175,276, to,0.46923887729644775
176,9401, thee,0.8432102203369141
177,13,.,0.42734503746032715
178,32022,<EOF>,3.323641058552984e-12
